0.122649 0.186231 0.879663	0.226908 0.417312 0.554624	0.517226 0.458739 -0.558099	0.487276 0.926283 -50.3585
0.700117 0.427862 -1.40536	0.232482 1.97843 -0.522729	0.443574 1.40409 -0.532462	0.457688 0.844619 -2.30695
0.165197 0.325071 0.0290533	0.178256 0.467573 1.02076	0.439131 0.871038 0.328826	0.43479 0.981359 0.884967
0.130269 0.549199 2.61272	0.296155 0.592437 -0.544089	0.47061 0.796082 2.22008	0.496605 1.03093 -1.10357
0.238019 0.286636 1.1771	0.474402 3.57687 -1.23827	0.564386 0.945822 0.26467	0.505289 0.871977 1.19977
0.516804 0.653643 0.738133	0.705073 0.126808 -6.13916	0.499199 0.896679 0.0183156	0.460574 1.09428 0.0561594
0.887251 2.87813 3.51989	0.50559 0.18015 -1.7176	0.560107 1.10523 -0.393999	0.466151 1.13856 0.820487
0.517109 1.49624 1.06072	0.62863 1.00503 -31.7607	0.55319 1.13285 -0.333376	0.532674 0.987118 -2.72177
0.252267 1.65124 -1.28008	0.759346 0.491434 0.649104	0.581983 0.728953 -0.0190095	0.456491 1.08816 -4.91681
0.961763 0.571374 4.35786	0.265264 1.26645 0.230475	0.358755 0.535676 1.1846	0.480133 0.980491 -1.94699
0.496771 2.34064 -2.86131	0.363444 2.08629 -0.00112807	0.549767 0.347541 0.349114	0.505276 1.16379 1.37247
0.628409 1.45254 -0.168044	0.682375 1.19593 0.676909	0.421739 1.62775 2.64075	0.478416 1.08485 -0.1273
0.600696 0.167046 0.358726	0.296731 1.62187 -2.11794	0.486792 1.4043 0.0542833	0.528864 1.15646 2.53915
0.453796 1.27101 -0.641568	0.375569 0.802516 -6.18993	0.555946 1.00519 -7.20584	0.480171 0.96474 5.32163
0.728447 0.465351 0.206376	0.223344 0.440408 -1.48061	0.536285 0.739762 0.425363	0.499578 0.889887 3.4647
0.0162102 0.410878 1.33336	0.559678 1.17955 -3.04378	0.675682 1.15116 -0.24869	0.522884 1.11683 0.849309
0.470709 1.64826 8.53302	0.615593 0.476452 4.07587	0.505494 0.767919 0.990826	0.499098 1.04764 -0.546938
0.41159 0.559017 0.438511	0.518349 0.663051 -0.7214	0.59798 0.651876 -7.39307	0.512755 0.910179 -0.406716
0.92987 1.80083 0.715142	0.89648 1.27337 -1.37089	0.571986 0.56027 -0.10389	0.481587 0.800908 0.174767
0.25766 1.14713 -0.943016	0.307455 0.572763 0.0912348	0.571811 0.909311 -0.659515	0.510836 1.0644 -1.06093
0.505806 1.21048 2.51155	0.191275 1.53543 -1.90604	0.476396 1.36222 0.540715	0.537533 1.02173 0.152886
0.794271 0.954449 1.86422	0.366768 0.261673 0.115632	0.368771 0.70528 -0.706831	0.501111 0.940542 -2.42659
0.15884 0.622649 -0.570236	0.659226 0.792939 0.268626	0.446667 0.91683 1.23598	0.500388 1.05868 -2.23529
0.229685 0.153941 -1.14059	0.718527 0.159446 24.0396	0.425096 1.08555 -0.134103	0.538765 1.01277 3.08476
0.353149 0.429146 0.870621	0.449242 1.41503 -1.14668	0.56211 0.712256 4.58866	0.514201 0.93773 -255.709
0.720895 0.092225 -1.15857	0.432433 0.332286 -0.120929	0.798981 1.35746 -2.97247	0.450495 0.991874 1.01462
0.299294 0.84263 0.239795	0.692853 1.35934 -1.80942	0.47061 0.922441 -0.371587	0.481487 1.10163 1.50568
0.342713 0.135108 -27.5809	0.363439 0.834182 1.42228	0.467921 1.22243 0.534503	0.467318 0.929835 1.53549
0.979011 1.30208 53.4769	0.156769 0.392126 -0.401421	0.40583 1.0603 1.95094	0.466736 0.834346 -0.36423
0.63231 0.634713 -0.34728	0.708164 0.854088 0.679603	0.493697 0.714025 -4.00166	0.483889 1.04667 5.29754
0.790439 0.401378 -0.00489999	0.706448 0.772603 -0.275925	0.587418 1.0259 -0.420482	0.481982 1.12624 -0.45609
0.592934 0.328268 0.530061	0.502114 0.65366 -0.624435	0.37066 0.764797 -0.24827	0.506992 1.00278 0.354518
0.571231 2.83101 -1.73997	0.499236 1.09471 3.68504	0.487823 1.45363 0.545918	0.527022 0.881136 -0.104127
0.0906931 1.97487 -1.50866	0.554803 0.621338 0.427551	0.476511 1.34688 0.400233	0.499405 0.979717 0.174552
0.541785 0.562067 1.35641	0.186278 0.711501 -0.0108575	0.463518 0.832808 0.123392	0.487907 0.941162 -0.455783
0.00558377 0.352782 0.0568894	0.692604 2.84718 -0.701565	0.481956 1.04126 -2.2124	0.483972 0.967868 0.721119
0.916868 0.0889635 0.207689	0.649503 0.335853 -0.231138	0.412982 0.546645 -5.62282	0.463456 0.951885 0.154188
0.091001 0.506811 5.96984	0.68641 0.729553 0.262376	0.451723 1.43958 0.0472377	0.526285 1.01568 -0.0200392
0.00261637 0.813737 6.46263	0.164062 0.164012 3.13878	0.26291 1.5891 8.13904	0.500633 1.02228 -4.58113
0.437869 0.0026376 -21.0823	0.457155 0.549147 -3.34171	0.577551 0.790077 1.47533	0.512995 0.936074 -0.23281
0.0510352 2.69788 1.33472	0.0255665 1.3053 -6.33448	0.509482 1.10759 -6.38889	0.505701 1.0262 -0.083943
0.920929 0.352232 0.0980014	0.588711 0.208491 -2.53138	0.404392 1.02109 7.90177	0.516344 1.1549 1.89681
0.00221013 0.151648 -0.776956	0.720811 1.34528 -0.450359	0.552443 1.19817 -1.25328	0.529194 1.03849 -1.19663
0.666565 0.457557 -892.603	0.283803 0.818331 3.20338	0.611977 1.18258 8.15486	0.504109 1.023 2.07257
0.475293 0.647981 -4.08899	0.693395 1.22688 -10.5628	0.642815 0.654832 0.406472	0.508806 1.04448 24.4724
0.794336 0.905204 -0.884509	0.561081 0.80415 0.391186	0.250883 1.07455 -0.297044	0.507759 1.03051 0.150924
0.929373 0.395638 0.744057	0.642144 0.720126 0.181942	0.394624 0.83999 -0.821052	0.505419 1.02556 4.0321
0.735043 0.548694 1.73606	0.534655 2.42622 1.60585	0.547891 1.55711 -0.0400062	0.520197 0.990837 1.33391
0.0656057 3.11664 37.5784	0.508575 1.39879 5.09805	0.4487 0.957688 -1.03019	0.453566 1.04052 0.11218
0.246285 0.0340809 -0.259377	0.802856 0.618726 1.99187	0.520565 0.884832 -0.0902464	0.508061 0.911154 10.6899
0.848232 0.856498 -0.45577	0.715183 0.320843 -3.95545	0.371693 0.927478 -0.609838	0.498737 1.06412 0.0215067
0.367081 0.299863 -0.623732	0.499994 1.21842 2.92248	0.3933 1.54083 0.560314	0.502161 1.17622 0.264976
0.124062 0.0110089 -1.24831	0.602123 1.19652 1.28479	0.462573 1.13813 -1.41237	0.519998 0.936057 -2.6667
0.57095 1.74382 -5.0141	0.570217 0.401822 4.11494	0.292255 1.24383 -6.01085	0.503212 1.03087 0.0732883
0.241825 1.64492 0.758791	0.106367 3.26198 -0.465017	0.446401 0.885251 0.156855	0.497539 1.00178 -0.264188
0.215938 2.05383 1.65708	0.880314 1.25991 -2.07942	0.507396 1.611 -0.177843	0.538615 1.12302 -1.96155
0.0374091 1.3599 2.79922	0.70251 1.95471 4.26493	0.372585 1.0316 -16.944	0.5308 1.09121 -2.78382
0.267973 0.178388 -1.02232	0.410344 0.89171 -0.722966	0.527006 1.37462 0.729913	0.489644 1.03019 0.0832535
0.944956 0.772839 537.148	0.583723 0.733407 1.78768	0.401659 1.0028 -1.30444	0.483965 1.00781 -3.06914
0.308796 0.125141 -1.87821	0.396354 0.497929 1.07479	0.641182 1.41587 0.900889	0.46698 1.12076 0.236502
0.319901 1.60917 0.103337	0.5477 0.329591 0.343926	0.547259 0.754288 -0.935857	0.471687 1.04752 -1.27265
0.805997 0.0349956 1.36948	0.835048 1.58452 0.856184	0.531759 0.996171 0.631525	0.486127 0.963533 0.864546
0.400645 1.24168 0.130908	0.546373 1.14945 -0.529302	0.612934 0.463579 -4.29857	0.488997 1.04332 0.915322
0.426987 1.99417 -1.7183	0.520186 0.570209 -0.150878	0.459556 0.964612 1.67135	0.51285 1.04011 2.58283
0.0374872 1.09626 1.86398	0.777701 0.559367 -0.229543	0.488172 0.855697 14.2191	0.52546 0.813802 0.0550619
0.187894 0.746945 1.8858	0.526511 1.57366 -0.427745	0.556397 1.15098 0.0479872	0.542349 0.868383 -0.193443
0.296926 0.039342 -0.536861	0.398256 2.01091 0.177743	0.694 0.423963 -1.22092	0.464722 0.901682 -0.0288761
0.645894 0.026077 2.15367	0.488341 0.75873 -0.614324	0.446965 1.50193 0.455332	0.534504 0.933379 -1.3195
0.803485 0.0504268 0.586013	0.709845 0.321552 1.1276	0.432242 0.751035 -0.735898	0.476688 1.08051 -0.600503
0.390715 0.735444 1.23775	0.773261 1.93552 -2.6213	0.469662 0.848411 3.28662	0.531083 0.971229 -15.6253
0.777824 1.33446 2.36628	0.752281 0.568967 -0.237365	0.518361 1.08299 -0.391975	0.490662 1.09185 0.723797
0.815733 2.84329 -1.88527	0.300988 0.210866 -2.30986	0.329224 0.838785 0.787559	0.509442 1.05401 0.9773
0.73954 1.8725 0.323752	0.78574 0.252648 1.21562	0.577432 0.547618 2.67706	0.45389 1.04653 -2.15746
0.240955 0.173463 -0.492317	0.314978 2.36748 0.333895	0.577415 1.67888 -4.29523	0.530803 1.14763 10.4416
0.358176 2.57772 45.0485	0.775328 0.968111 12.3233	0.555372 0.802599 0.750898	0.521015 0.969537 -2.04486
0.522542 2.04411 0.0351894	0.329082 0.749835 -0.127887	0.549571 1.04771 -3.7187	0.499809 0.967099 -1.61085
0.515888 0.678191 -0.413369	0.240556 0.250854 0.862787	0.529885 1.4949 1.4299	0.51607 1.10904 0.0461085
0.564876 0.557433 -0.406641	0.630178 0.563112 4.74917	0.539627 0.676595 7.7228	0.455646 0.930903 -0.224882
0.209203 0.133459 2.20149	0.683738 0.857092 -0.26866	0.671844 1.30449 -2.3411	0.50971 1.11078 1.94942
0.810856 0.773225 -0.582932	0.444418 0.333452 0.204792	0.617474 0.501726 -3.24029	0.453605 1.10334 -0.319637
0.296167 0.788593 -0.36801	0.682024 1.4105 -0.320085	0.669735 0.780912 1.01224	0.5305 0.970478 -1.0958
0.323324 1.37736 0.484093	0.431309 0.119495 -0.920208	0.610522 1.11804 -0.0532955	0.489576 0.935772 0.468337
0.141928 3.32596 0.475211	0.473164 1.0875 -2.0418	0.43657 1.21837 -0.239293	0.500137 0.930611 1.02564
0.615112 0.0498607 2.98257	0.255466 0.513611 -1.18802	0.404202 1.146 -2.96302	0.418525 1.00445 14.1786
0.0577661 1.49159 -10.3793	0.278232 0.43659 -0.31081	0.507057 0.85386 -0.260648	0.538619 1.00617 22.9314
0.105574 1.20537 -12.6585	0.737244 0.501432 -4.52051	0.469207 0.730941 -0.278925	0.471632 1.17026 -1.10153
0.138862 3.5528 239.112	0.415862 0.389352 72.6388	0.427003 1.04341 -1.36524	0.486429 1.11722 1.83007
0.0316269 0.247049 -1.66199	0.574854 1.91905 0.131962	0.489621 1.52992 -8.15818	0.505334 1.03091 -1.67629
0.250964 1.05806 -0.164056	0.640056 1.01996 -0.137481	0.448632 0.698848 5.91031	0.506918 0.994414 0.18703
0.928839 0.636445 1.07131	0.373654 1.28814 0.245185	0.526127 1.31206 -34.3744	0.499139 1.00894 -0.0836366
0.129876 0.696958 0.385046	0.682708 0.191346 2.22232	0.573974 0.610945 -10.9168	0.553169 0.935638 -0.987392
0.0188308 2.61062 0.497387	0.662305 1.48563 27.5218	0.370146 0.876035 -1.07955	0.487633 0.99201 1.54091
0.479777 0.562466 -1.35545	0.745735 1.76735 2.15473	0.520415 0.895054 -0.439755	0.509689 0.974518 -8.87199
0.28648 2.36474 0.987089	0.60717 0.451902 -0.0492515	0.483646 0.704087 -47.4295	0.535747 1.08304 -0.281729
0.553529 0.111377 3.86294	0.146479 0.509465 -2.96497	0.392088 1.1769 -0.034125	0.510408 1.20948 0.79332
0.248676 0.462564 -0.3754	0.579833 0.320233 0.0184621	0.518272 0.875045 -1.74039	0.474891 0.961934 0.354547
0.184188 0.841182 -0.162006	0.391863 0.700082 -2.15888	0.689846 1.31947 0.767122	0.470523 0.891451 -1.68613
0.232742 0.138891 1.69197	0.349753 1.10213 0.111095	0.496997 0.634978 -1.11557	0.511188 1.01971 -25.0184
0.486838 1.03353 1.06208	0.497128 0.961898 2.74871	0.430161 0.729257 0.14553	0.530851 1.06325 -2.44586
0.211087 0.999238 0.36788	0.663957 1.18786 -2.02882	0.639535 1.52708 4.14569	0.525637 0.886921 0.244229
0.995499 0.615399 -2.05227	0.166761 0.246923 0.181679	0.706312 1.04759 -0.990576	0.489412 1.02109 -1.48818
0.814888 0.722547 -3.92186	0.475134 0.724967 0.387831	0.424867 0.872504 0.729807	0.489605 0.935457 -0.248029
0.379814 0.443731 -10.8753	0.248999 1.39137 1.69754	0.537746 0.857023 1.10469	0.496101 0.946435 68.1326
0.516789 0.774143 0.299352	0.662653 0.118243 0.762801	0.503271 0.889299 -2.68317	0.487659 1.06112 0.0336187
0.311151 0.771533 -0.0541208	0.328915 0.643249 -0.272479	0.527334 1.33031 0.998852	0.53235 1.04811 -1.16279
0.10136 2.05315 -10.5858	0.769665 1.71082 0.464332	0.376787 1.17494 0.776571	0.503349 1.25061 1.90801
0.0299589 0.948949 2.8427	0.544173 0.420032 -3.29025	0.380559 0.929301 -0.670319	0.518832 1.24163 1.17603
0.0287228 1.92226 0.259862	0.502764 1.13433 0.195805	0.528956 0.924717 0.842153	0.502111 0.892266 0.181845
0.948321 0.22 2.23154	0.7349 0.089413 -2.33416	0.622236 1.02837 -1.12937	0.480295 1.13724 -10.2857
0.549612 0.522223 -3.56656	0.395391 0.632401 0.505925	0.557519 0.911393 0.842496	0.47911 1.01389 0.627754
0.929166 1.92314 0.438415	0.355332 1.18867 -1.86844	0.549287 1.34825 2.25724	0.46776 1.00364 -0.183202
0.01178 0.195199 0.587618	0.446499 0.201093 4.32756	0.490435 1.00254 0.625721	0.51838 0.840134 0.560421
0.711502 0.836277 -3.81353	0.597912 0.698514 1.55953	0.444302 1.14171 -0.174492	0.474371 1.06107 -0.383515
0.558324 0.210139 2.08582	0.473612 2.35932 -1.8769	0.476574 0.766692 -3.8413	0.49325 0.917674 0.548004
0.782458 0.437622 4.90424	0.76574 3.70393 -1.67633	0.493029 0.553147 1.33383	0.482296 0.996465 -1.62786
0.114193 2.00131 -5.69599	0.5637 0.426581 -0.586135	0.455771 0.837891 0.594974	0.526615 0.946803 -26.0007
0.0415138 0.139295 0.34339	0.369752 0.250349 0.261895	0.436621 1.13641 3.61997	0.534186 0.89697 -1.71023
0.210958 0.581973 -5.52135	0.502688 0.20499 -0.242753	0.533962 1.37553 -50.1461	0.473228 1.00965 2.3562
0.325051 0.8718 -0.35553	0.453204 1.66925 1.7313	0.370294 0.938148 -0.242108	0.50375 0.987404 -0.898642
0.527303 0.857005 -0.338255	0.489449 0.785087 0.0934851	0.410938 0.974003 0.247937	0.45476 0.938927 13.8043
0.264066 0.615486 1.76929	0.42583 0.870089 0.625297	0.486047 1.55256 1.67872	0.516146 0.945917 0.672295
0.802339 0.195361 0.866144	0.804298 2.62311 -0.695732	0.411262 2.07909 -1.18573	0.471979 0.861724 -0.725702
0.760314 1.55167 -0.290936	0.329028 1.08117 1.70191	0.447231 1.30518 -3.63556	0.519959 1.12001 -0.370963
0.115578 3.08399 -0.569238	0.354594 1.61487 0.250774	0.62104 0.987905 0.0738253	0.476998 1.04206 2.01276
0.455956 1.00911 -1.68995	0.494481 0.856256 -0.75115	0.463934 1.56773 2.55368	0.498619 1.00814 -0.407463
0.514723 2.80959 0.728028	0.547836 0.3265 -0.229102	0.490057 1.39549 0.626125	0.552126 1.09288 -0.351321
0.633986 3.13573 1.57501	0.482255 0.641909 -0.738991	0.48447 1.19464 -2.27121	0.53023 0.993803 1.27995
0.323816 0.209507 -1.26875	0.569754 1.7794 -1.365	0.463223 0.715027 -1.77737	0.500455 0.980784 1.05964
0.695842 0.223913 1.54592	0.408577 0.828663 -0.304456	0.491498 0.927048 0.0405405	0.520859 1.0324 -1.12262
0.248509 0.309769 -2.2288	0.633092 1.37381 0.902098	0.587732 0.905229 2.01386	0.526907 1.12675 0.101421
0.896112 0.180531 0.807679	0.65367 1.09482 -0.0560441	0.54067 0.890518 -4.4674	0.457442 1.00295 -0.952192
0.0679879 2.04887 -0.114785	0.311294 0.594421 -0.489818	0.520893 0.664569 -19.7884	0.527061 0.833587 -0.195902
0.0326687 0.25487 0.616525	0.269179 2.09805 0.407448	0.541896 1.17728 0.088871	0.522529 1.0083 -1.16764
0.195382 2.45097 -0.679935	0.816843 0.347569 0.0150158	0.44365 1.19985 0.952596	0.52468 0.985015 2.80816
0.646642 0.37301 -0.491298	0.413284 1.57152 3.07073	0.482597 0.936157 -2.75655	0.504221 1.12903 0.383629
0.0707067 0.61615 1.79646	0.60075 1.39921 0.0159106	0.359327 1.03189 -0.0639801	0.487426 0.972617 -0.0862765
0.425293 2.79081 -12.8378	0.497653 2.40917 -0.201994	0.340335 1.19741 181.81	0.460721 0.980358 -0.749886
0.254644 1.8204 -2.98851	0.449441 2.82025 -3.01312	0.506619 1.34854 -1.03649	0.503891 1.24661 -2.30309
0.697659 2.58204 -1.50941	0.5392 0.566859 -1.20202	0.628279 0.8184 -1.25639	0.510023 1.20071 1.31339
0.839004 1.30972 0.807283	0.787174 0.769401 0.316471	0.408263 0.870255 1.40417	0.503611 1.24666 -1.90849
0.18761 1.5458 0.828048	0.514415 1.41857 -0.896853	0.547713 0.723479 -2.78836e-05	0.481345 1.24292 -1.49854
0.22929 1.35968 -1.39422	0.542953 0.498472 -0.319222	0.56761 0.769812 12.8658	0.525372 0.948738 0.895084
0.917367 0.425412 -0.312442	0.795035 0.463268 -7.92801	0.56147 0.890806 -0.033496	0.536038 0.879928 -0.192179
0.983957 0.790534 -0.626967	0.534782 1.4168 -1.66925	0.45747 1.31452 -0.876239	0.487677 0.958499 18.0684
0.0890206 0.168674 0.228957	0.419187 1.32517 0.260356	0.612558 1.35328 -0.147711	0.521749 1.19964 -0.031753
0.195936 0.265421 -0.231725	0.122887 1.11058 -0.229283	0.449583 1.03582 21.0538	0.538854 1.03705 -0.520687
0.369808 0.158458 -0.366126	0.377235 0.495869 -0.761704	0.54243 0.831928 -0.470944	0.454758 0.917414 -1.00201
0.288343 0.121778 -0.944751	0.586327 0.811333 -0.560771	0.626821 0.680104 4.00925	0.462875 1.04345 0.322964
0.653854 0.850272 11.3232	0.559349 1.13804 -3.39634	0.650201 0.483587 0.2183	0.531462 1.10272 3.43252
0.226982 1.96382 5.48679	0.920987 0.409398 0.0513135	0.409303 1.19416 -13.6629	0.500553 0.87457 -0.155973
0.770063 0.552547 -0.0920855	0.752877 0.282429 1.99556	0.601691 1.02277 -6.38998	0.501105 0.963442 -64.8963
0.93551 0.136568 0.523026	0.61552 1.30911 0.221762	0.602817 1.09067 1.57858	0.50436 1.05603 0.734069
0.787412 0.274037 -1.23898	0.259717 1.97212 -3.09236	0.457383 0.637743 -4.91343	0.497923 1.02638 1.46982
0.365865 1.27713 -0.556956	0.447074 0.298574 -0.952435	0.623959 1.01459 1.21826	0.428732 0.782415 0.504601
0.69632 0.281673 0.542451	0.432755 0.374338 -0.456155	0.540233 1.57262 -0.459945	0.501983 0.926991 0.514179
0.872056 1.83927 -0.520522	0.399845 2.14127 -0.86918	0.539014 1.03213 -1.45217	0.4663 1.02115 -1.39743
0.511567 0.240806 0.121117	0.748772 1.07585 0.0451471	0.594675 1.05868 2.13295	0.494077 0.932609 -9.708
0.434303 1.39814 -0.0236343	0.333354 1.88618 -9.50962	0.528383 1.61954 0.863716	0.45408 1.05002 0.129703
0.515487 0.351001 -1.96155	0.423767 0.35671 0.668865	0.5712 0.532983 -0.804894	0.521137 0.893589 4.17628
0.296871 1.05192 0.0170889	0.838043 0.893321 0.392741	0.398252 0.811014 1.59597	0.542259 0.9985 -0.0605075
0.168819 1.05357 -1.2917	0.453091 0.319831 0.264766	0.568341 0.981511 0.776307	0.464714 0.923799 0.681233
0.808113 4.63882 0.454039	0.575104 0.743824 -1.56956	0.536649 0.773746 0.227635	0.491808 0.89587 -0.20572
0.984427 2.10418 -1.31465	0.678844 1.58536 0.354663	0.525006 0.85785 -0.99569	0.526185 0.97429 1.09449
0.814099 0.00667033 -84.1845	0.504542 0.564948 -0.857906	0.470058 1.67328 -0.0757611	0.475723 0.878562 -0.15875
0.26889 2.50212 -0.788089	0.843465 0.574887 0.163882	0.517472 1.23579 -0.451023	0.508414 1.14603 0.520882
0.0653556 0.403474 -32.1801	0.397101 1.31206 -5.33736	0.524758 0.763755 -4.41867	0.482331 0.893771 -0.0403981
0.0996207 0.417705 -0.342256	0.811871 0.848965 -21.0448	0.501403 0.808866 0.110306	0.494706 0.88305 -1.06313
0.578263 0.0108458 2.31187	0.476049 0.37864 0.140516	0.527068 0.770449 5.28173	0.527649 0.993709 1.21888
0.49333 0.122654 -1.26517	0.402872 1.04551 -0.359675	0.461447 1.6476 -1.04967	0.491993 1.05217 0.160865
0.623751 1.02935 -3.67172	0.455631 0.879975 0.816414	0.66914 1.75427 184.179	0.507405 1.06537 -0.668233
0.818132 0.241034 -0.0127935	0.66928 0.472604 -1.46872	0.488792 1.34059 1.49821	0.546254 1.1295 -5.86565
0.673241 0.789192 -0.0167221	0.0835088 0.531413 0.675634	0.589784 0.705697 0.676153	0.507915 1.00883 -3.11214
0.997079 0.182104 0.2037	0.548242 2.0082 135.088	0.386991 1.00541 -1.35331	0.464308 1.02617 0.281997
0.785905 0.379147 -0.0899229	0.441393 1.11054 -0.00892601	0.428623 0.275322 -0.686124	0.518599 1.03262 1.41831
0.814913 1.3033 -14.3366	0.549207 0.784454 -1.08892	0.582796 1.22662 2.4649	0.557175 0.910323 -4.13887
0.536021 1.30389 -0.302827	0.535594 0.705469 -0.412394	0.549433 0.567693 3.18935	0.50753 1.0023 -0.283903
0.776168 2.12871 -0.956162	0.474613 0.401408 3.51396	0.453326 0.91817 -0.262475	0.496307 1.01161 -1.10676
0.549895 0.0477029 3.06493	0.379062 1.26704 0.707412	0.52552 1.42075 -1.34566	0.514974 1.00089 0.829717
0.247137 1.13479 1.82838	0.433329 2.00086 0.302839	0.5228 0.780895 4.75625	0.515104 0.983275 3.65877
0.150812 0.808719 -2.91781	0.527867 1.16623 -0.582993	0.454196 0.755527 -0.630444	0.538504 0.805229 2.1759
0.701016 1.2918 -0.242171	0.402051 1.35167 0.677799	0.468121 1.2146 -0.325337	0.524184 0.868237 3.0631
0.0741266 2.44078 0.012726	0.524776 0.457425 -42.1359	0.524434 0.572462 -2.15201	0.466851 0.902966 -1.12627
0.555751 0.0110748 2.97413	0.545699 0.21265 0.0604001	0.626935 1.12962 0.722411	0.49001 1.07347 -2.94158
0.344721 0.214168 -1.95068	0.494709 0.854821 1.38182	0.494507 1.21784 -18.7221	0.478232 1.03894 5.80283
0.00723482 3.19327 -0.355719	0.592379 0.184463 -1.28288	0.536166 1.36639 -1.90245	0.502539 0.894675 -7.59581
0.670488 1.19837 0.0577205	0.743237 0.609713 -0.883197	0.525368 0.928324 -68.161	0.472535 0.954571 -0.645713
0.356654 0.0603097 -0.274864	0.377147 2.6067 -1.67111	0.442629 0.904088 -0.78706	0.498675 1.0311 2.69023
0.314898 0.126947 0.848324	0.579099 2.0325 0.299233	0.528619 1.12685 7.51898	0.485273 0.890115 -3.25637
0.221393 0.856049 0.527301	0.264513 0.592949 0.347902	0.406933 1.12293 -0.426953	0.494389 1.02712 -4.58335
0.906261 0.859772 0.724711	0.101624 1.46885 -5.97722	0.480677 0.727156 -0.179506	0.504871 0.904303 0.213962
0.386671 1.01665 0.623763	0.513003 0.553261 4.73807	0.641644 0.968772 -1.74202	0.479467 1.07524 -0.448401
0.666848 0.65369 3.16744	0.188281 0.637255 1.95754	0.47009 1.25245 0.175767	0.453404 1.01245 -0.201983
0.277307 0.628009 1.01618	0.673896 0.847594 0.517422	0.446366 0.852179 -1.95959	0.494933 0.954845 0.435884
0.996822 4.56675 0.107016	0.147969 1.77846 0.719621	0.513386 1.22489 0.222808	0.484513 1.00116 9.15384
0.919205 0.634358 9.91427	0.176135 1.52497 -0.794382	0.575173 1.21028 2.10465	0.534304 1.17387 -0.214114
0.0591565 0.350663 0.185147	0.171328 1.41683 -1.48049	0.414314 1.50347 6.5711	0.480824 1.14039 0.366912
0.0176433 0.657705 -0.345331	0.633267 0.260749 8.65609	0.53251 1.30354 -5.24363	0.465917 1.10183 -0.228428
0.747945 0.0708476 0.897752	0.447112 0.607898 1.03896	0.65734 1.13985 -0.584334	0.476775 0.947386 -0.876864
0.916408 0.885892 -0.463714	0.3465 0.995352 1.08496	0.46633 0.591736 -0.876806	0.494654 1.19998 -0.341118
0.00168935 1.02794 -4.46748	0.197582 1.55453 0.151457	0.511681 1.0051 -0.984013	0.451368 1.15724 -1.86379
0.412874 1.26833 -0.554281	0.638691 0.678678 -0.882395	0.423764 0.918062 -1.97364	0.537504 1.00985 -0.164568
0.344863 2.99751 0.47517	0.427818 0.617118 1.81305	0.457664 0.921202 -6.17374	0.478937 0.881597 0.180169
0.0228813 0.0795777 0.567365	0.142646 1.97073 0.125994	0.454067 0.565199 5.13567	0.478477 1.09399 -1.02267
0.56951 0.271866 4.24293	0.332927 0.62842 -4.1749	0.600443 0.500801 3.13192	0.514631 0.954485 -0.731481
0.17091 0.429293 -1.3274	0.526511 0.632879 0.133187	0.572791 1.16461 0.3149	0.494497 0.943243 -2.82363
0.17771 0.640241 215.685	0.950131 0.753411 0.392346	0.46293 0.520701 13.8332	0.504897 1.27561 -3.68462
0.132988 2.40169 -1.62685	0.8498 1.12402 -3.44839	0.414276 1.06563 -1.90993	0.484965 1.11972 -1.5858
0.556403 0.195292 -7.64389	0.6038 0.610015 2.15828	0.392804 0.840119 -1.0744	0.491853 0.95928 -2.68918
0.430598 0.783111 0.891014	0.723614 0.970874 -1.00228	0.558319 0.98129 -0.71874	0.493814 1.11633 -3.44595
0.438385 0.16631 1.01781	0.732469 0.269367 -0.303415	0.508436 0.974694 0.318422	0.514016 0.971684 -0.73823
0.201402 1.16547 -0.141336	0.5534 0.753914 -1.98578	0.570551 0.80129 0.694797	0.473952 0.940726 -7.02415
0.839541 0.2982 0.0530102	0.506829 1.17448 0.930527	0.363238 0.527978 -4.7989	0.524458 0.955331 -0.438104
0.874077 0.265504 2.13285	0.665088 0.225166 -0.79089	0.381303 0.671767 -0.52524	0.470066 0.988703 -0.166471
0.627309 0.144367 -1.47339	0.383479 1.32356 -1.19524	0.232942 0.780378 -0.343975	0.491059 0.984207 0.983435
0.954705 0.412018 0.298643	0.286167 0.263173 1.63082	0.368801 0.764207 1.24057	0.506893 1.11245 0.0547009
0.0560907 1.03181 -1.02999	0.464964 1.18602 1.36617	0.418498 0.982769 1.4684	0.462106 0.874115 -0.759194
0.768838 0.555921 -0.210359	0.340101 1.49086 -4.13343	0.521113 1.51481 0.950421	0.486133 1.08648 -0.0658161
0.481398 0.744166 -6.14734	0.264093 0.627483 -0.438324	0.589209 1.31958 -28.1292	0.50409 0.971146 -0.979788
0.659644 0.483293 -0.406098	0.420998 0.923798 18.0935	0.626634 1.31263 -0.616618	0.536256 1.03278 0.644228
0.855514 1.75128 1.03235	0.648906 2.37562 3.07525	0.434268 0.861981 -1.41934	0.567153 1.03206 -1.03471
0.541138 3.02588 -48.8825	0.688524 0.334559 -0.257287	0.571659 1.41396 -0.207471	0.445605 0.969924 -20.3285
0.694271 1.4113 -0.954687	0.260734 0.552053 -35.2844	0.401618 0.862665 1.46295	0.527205 0.769324 2.23965
0.78889 0.385503 -0.171881	0.241216 0.747553 1.99779	0.58014 0.960385 -0.530596	0.500221 1.24419 -3.41184
0.396 0.0865674 10.6487	0.375638 4.7346 0.308947	0.423833 1.56308 3.84154	0.492371 1.09774 7.21338
